"filename", "language", "JavaScript", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\Welcome.html", "HTML", 0, 50, 0, 10, 15, 75
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\bootstrap.bundle.min.js", "JavaScript", 1, 0, 0, 8, 1, 10
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\bootstrap.min.css", "CSS", 0, 0, 9864, 9, 1, 9874
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\comingsoon.html", "HTML", 0, 54, 0, 10, 15, 79
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\controller.html", "HTML", 0, 77, 0, 26, 18, 121
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\daily.html", "HTML", 0, 71, 0, 0, 0, 71
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\demo.html", "HTML", 0, 73, 0, 7, 5, 85
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\firebaseScript.js", "JavaScript", 23, 0, 0, 7, 2, 32
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\index.html", "HTML", 0, 122, 0, 11, 7, 140
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\login.html", "HTML", 0, 159, 0, 29, 7, 195
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\monthly.html", "HTML", 0, 74, 0, 1, 0, 75
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\product.html", "HTML", 0, 107, 0, 11, 19, 137
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\productdetail.html", "HTML", 0, 143, 0, 31, 8, 182
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\register.html", "HTML", 0, 267, 0, 20, 13, 300
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\results.html", "HTML", 0, 94, 0, 10, 21, 125
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\statsDaily.html", "HTML", 0, 71, 0, 0, 0, 71
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\style.css", "CSS", 0, 0, 58, 5, 4, 67
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\weekly.html", "HTML", 0, 71, 0, 0, 0, 71
"Total", "-", 24, 1433, 9922, 195, 136, 11710